# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1260
#@/user_id	Terry_rime
a 	啊	c=6 d=3.04397 t=1260
a 	𥥩	c=1 d=0.389388 t=1260
a 	𨉚	c=0 d=0.099005 t=1260
a a zhi 	AA制	c=1 d=0.995012 t=1260
a mei zu 	阿美族	c=0 d=0.0980199 t=1260
a mei zu bi 	阿美族比	c=1 d=0.985112 t=1260
a mu niu 	𥥩母牛	c=2 d=1.97516 t=1260
a mu niu 	𨉚母牛	c=1 d=0.995012 t=1260
a mu si 	阿姆斯特朗公理	c=3 d=2.95544 t=1260
a mu si te lang gong li 	阿姆斯特朗公理	c=1 d=0.99005 t=1260
a zuo 	啊做	c=1 d=0.970446 t=1260
ai guo 	愛國	c=0 d=0.097531 t=1260
ai guo tan bu shang 	愛國談不上	c=1 d=0.980199 t=1260
an jia 	安家	c=0 d=0.0540641 t=1260
an jia de 	安家的	c=1 d=0.543351 t=1260
an ning 	安寧	c=1 d=0.606531 t=1260
an zhuang 	安裝	c=1 d=0.496585 t=1260
an zhuang zhi nan 	安裝指南	c=1 d=1.07822 t=1260
android 	Android	c=1 d=0.995012 t=1260
ba 	吧	c=0 d=0.0771052 t=1260
ba wan 	𩖣玩	c=1 d=0.995012 t=1260
bai ba shi 	百八十	c=0 d=0.00464212 t=1260
bai du 	百度	c=0 d=0.0790571 t=1260
bai du kuai zhao 	百度快照	c=1 d=0.794534 t=1260
bai jia 	百家	c=1 d=0.36816 t=1260
bai jia hao 	百家號	c=2 d=0.677496 t=1260
bai zhou 	白晝	c=0 d=0.0965605 t=1260
bai zhou hei ye 	白晝黑夜	c=1 d=0.970446 t=1260
ban jiao 	半角	c=1 d=0.99005 t=1260
ban ling 	斑羚	c=0 d=0.0744532 t=1260
bao 	包	c=1 d=0.594521 t=1260
bei fen 	備份	c=1 d=0.559898 t=1260
bei tang qu 	北塘區	c=1 d=0.453845 t=1260
bi 	比	c=0 d=0.173598 t=1260
bi ge 	比格	c=0 d=0.0637628 t=1260
bi ge quan 	比格犬	c=1 d=0.640824 t=1260
bi na xie 	比那些	c=6 d=5.00011 t=1260
bi te 	比特	c=0 d=0.0463013 t=1260
bi te quan 	比特犬	c=4 d=2.02413 t=1260
bian bu 	惼不	c=1 d=0.99005 t=1260
bian bu 	遍佈	c=1 d=1 t=1260
bian bu 	𣩀不	c=1 d=0.995012 t=1260
bian jing 	邊境	c=0 d=0.0690734 t=1260
bian jing mu yang quan 	邊境牧羊犬	c=1 d=0.694197 t=1260
bian li 	遍歷	c=3 d=1.3088 t=1260
bian li zi mu lu 	遍歷子目錄	c=1 d=0.56836 t=1260
bian lie 	編列	c=1 d=0.798516 t=1260
bian mu 	邊牧	c=1 d=0.690734 t=1260
bie wu suo qiu 	别无所求	c=1 d=0.995012 t=1260
bing bu shi 	並不是	c=0 d=0.0909373 t=1260
bing bu shi wo de shen qi shu ru fa 	並不是我的神奇輸入法	c=1 d=0.913931 t=1260
bing jia qi 	并驾齐驱	c=1 d=0.995012 t=1260
bing qie 	並且	c=1 d=1 t=1260
bo he 	薄荷	c=0 d=0.0960789 t=1260
bo si mao 	波斯貓	c=2 d=1.99501 t=1260
bu 	不	c=0 d=0.259528 t=1260
bu bian 	不變	c=0 d=0.0980199 t=1260
bu bian cong 	不變從	c=1 d=0.985112 t=1260
bu cuo 	不錯	c=0 d=0.0794534 t=1260
bu dai 	不帶	c=1 d=1.03926 t=1260
bu dai yu ce 	不帶預測	c=1 d=0.932394 t=1260
bu dou shi 	不都是	c=1 d=0.97531 t=1260
bu duan 	不斷	c=0 d=0.0786628 t=1260
bu jing mi yi qi 	不精密儀器	c=1 d=0.873716 t=1260
bu kao pu 	不靠譜	c=1 d=0.782705 t=1260
bu kao pu de zi dong shi bie 	不靠譜的自動識別	c=1 d=0.88692 t=1260
bu luan 	不亂	c=0 d=0.0913931 t=1260
bu luan ma 	不亂嗎	c=1 d=0.918512 t=1260
bu quan 	补全	c=0 d=0.0951229 t=1260
bu sheng cheng 	不生成	c=1 d=0.932394 t=1260
bu shu 	部署	c=1 d=0.946485 t=1260
bu ying gai 	不應該	c=0 d=0.0946485 t=1260
bu ying gai zhe yang zuo 	不應該這樣做	c=1 d=0.951229 t=1260
bu yong 	不用	c=1 d=0.932394 t=1260
bu zuo 	不做	c=2 d=1.86042 t=1260
cai shi 	纔是	c=1 d=0.771052 t=1260
ce er 	側耳	c=1 d=0.955997 t=1260
ce shi 	測試	c=13 d=9.61769 t=1260
ce shi 	𢷾是	c=-1 d=1 t=1260
ce shi shu ru 	測試輸入	c=1 d=0.995012 t=1260
ce shi xia shu ru fa 	測試下輸入法	c=1 d=0.923116 t=1260
cha ru 	插入	c=1 d=0.534464 t=1260
cha ru shu ju 	插入數據	c=1 d=0.479505 t=1260
cha zhao 	查照	c=2 d=0.861267 t=1260
chai qian 	拆遷	c=1 d=0.847894 t=1260
chai quan 	拆犬	c=1 d=0.852144 t=1260
chai quan 	柴犬	c=2 d=1.75225 t=1260
chang 	長	c=0 d=0.199002 t=1260
chang du 	長度	c=5 d=2.92095 t=1260
che dan ne 	撤但呢	c=1 d=0.97531 t=1260
chen 	陳	c=2 d=2.20135 t=1260
chen hong yu 	陳洪玉	c=3 d=2.5846 t=1260
chen yao hui 	陳耀輝	c=3 d=2.83025 t=1260
chen yao zu 	陳耀祖	c=3 d=2.8124 t=1260
cheng 	成	c=2 d=1.99885 t=1260
cheng gao dao 	成搞到	c=1 d=0.937067 t=1260
cheng gao ren 	成高人	c=1 d=1 t=1260
chong fu 	重複	c=1 d=0.491644 t=1260
chong wu 	寵物	c=1 d=1.02724 t=1260
chong wu gou 	寵物狗	c=6 d=3.8959 t=1260
chong wu meng 	寵物萌	c=1 d=1 t=1260
chong xin 	重新	c=2 d=1.77287 t=1260
chu 	出	c=0 d=0.0995012 t=1260
chu ci 	初次	c=1 d=0.99005 t=1260
chu le ming 	出了名	c=1 d=0.470011 t=1260
chu shi hua 	初始化	c=4 d=2.86659 t=1260
chuang jian 	創建	c=2 d=1.03204 t=1260
chuang yi 	創意	c=1 d=1 t=1260
chuang zao 	創造	c=0 d=0.197516 t=1260
chuang zao xin ci 	創造新詞	c=1 d=0.99005 t=1260
chuang zao xin de ci hui 	創造新的詞彙	c=1 d=0.995012 t=1260
ci 	詞	c=0 d=0.118971 t=1260
ci dian 	詞典	c=8 d=4.59228 t=1260
ci gong neng 	此功能	c=0 d=0.0293758 t=1260
ci hui 	詞彙	c=1 d=1.02231 t=1260
ci ku 	詞庫	c=14 d=9.04819 t=1260
ci yu 	詞語	c=1 d=0.794534 t=1260
cong 	從	c=0 d=0.0980199 t=1260
cong tou 	從頭	c=1 d=0.97531 t=1260
cui ban lu 	催班鲁公后	c=1 d=0.83527 t=1260
cui niao 	翠鳥	c=1 d=0.425283 t=1260
cun 	村	c=1 d=0.923116 t=1260
cun zai 	存在	c=4 d=1.81047 t=1260
cun zai 	存在主义	c=1 d=0.46031 t=1260
cuo wu 	錯誤	c=3 d=1.34001 t=1260
da 	大	c=0 d=0.0965605 t=1260
da 	打	c=0 d=0.0960789 t=1260
da ji ba 	大雞巴	c=1 d=0.970446 t=1260
da ji ba 	打雞巴	c=1 d=0.965605 t=1260
da jia 	打架	c=0 d=0.0880964 t=1260
da jiao 	打攪	c=1 d=0.666977 t=1260
da li 	大力	c=0 d=0.0744532 t=1260
da li hong yang 	大力弘揚	c=1 d=0.748264 t=1260
da men 	大門	c=1 d=1.02261 t=1260
da men ri ji 	大門日記	c=1 d=1 t=1260
da sheng 	大聲	c=0 d=0.099005 t=1260
da sheng hou jiao 	大聲吼叫	c=1 d=0.995012 t=1260
da xing quan 	大型犬	c=2 d=1.03825 t=1260
da ying 	答應	c=1 d=1 t=1260
dai 	帶	c=0 d=0.0486752 t=1260
dai bu dai 	带不带	c=0 d=0.0913931 t=1260
dai li 	代理	c=1 d=0.985112 t=1260
dai pian le 	帶偏了	c=1 d=0.489192 t=1260
dao 	到	c=2 d=1.77896 t=1260
dao chu 	導出	c=1 d=0.970446 t=1260
de 	德	c=0 d=0.0932394 t=1260
de 	的	c=21 d=9.69301 t=1260
de hua 	的話	c=0 d=0.0955997 t=1260
de mu 	德牧	c=1 d=0.687289 t=1260
de mu gou zi 	德牧狗子	c=1 d=0.937067 t=1260
de shu ru fa 	的輸入法	c=1 d=1.1036 t=1260
de su cheng fang an 	的速成方案	c=1 d=0.932394 t=1260
de wo de jia 	的我的家	c=1 d=0.433874 t=1260
de xiao guo 	的效国	c=1 d=0.927743 t=1260
di er shi er 	第二十二	c=1 d=1 t=1260
di xia shi 	地下室	c=0 d=0.0535261 t=1260
dian yuan 	電源	c=1 d=0.774916 t=1260
diao 	掉	c=1 d=0.985112 t=1260
diu ren 	丟人	c=0 d=0.0951229 t=1260
dong 	動	c=0 d=0.0995012 t=1260
dong 	炵	c=0 d=0.0995012 t=1260
dong ben xi 	东奔西跑	c=1 d=0.985112 t=1260
dong ming zhu 	動明珠	c=1 d=1 t=1260
dong ming zhu 	炵明珠	c=1 d=1 t=1260
dong wu 	動物	c=6 d=4.27885 t=1260
dong wu da jia 	動物打架	c=1 d=0.436049 t=1260
dong wu shou lie 	動物狩獵	c=1 d=0.778801 t=1260
dong xi 	東西	c=0 d=0.0980199 t=1260
dou 	都	c=1 d=0.444858 t=1260
dou ke yi 	都可以	c=1 d=0.67368 t=1260
dou shi 	都是	c=0 d=0.0970446 t=1260
du qu 	讀取	c=2 d=0.99005 t=1260
du xie 	讀寫	c=2 d=1.34753 t=1260
du xue 	督學	c=1 d=0.951229 t=1260
du yi wu er 	獨一無二	c=0 d=0.194575 t=1260
du yi wu er chang du yi 	獨一無二長度一	c=1 d=0.980199 t=1260
du yi wu er chang du yi wu er 	獨一無二長獨一無二	c=1 d=1 t=1260
duan ju 	斷句	c=0 d=0.067032 t=1260
duo ge 	多個	c=1 d=0.740504 t=1260
duo le 	多了	c=1 d=0.794534 t=1260
e 	額	c=0 d=0.0985112 t=1260
e e 	哦哦	c=0 d=0.0919179 t=1260
e e e 	額哦哦	c=2 d=0.949578 t=1260
e e e e e e 	哦哦哦哦哦哦	c=1 d=0.45612 t=1260
e ren 	惡人	c=0 d=0.0985112 t=1260
e ren shu 	惡人書	c=1 d=0.99005 t=1260
e shi wu sui 	額十五歲	c=1 d=0.99005 t=1260
e xing zhong liu 	惡性腫瘤	c=1 d=0.923116 t=1260
er 	尒	c=0 d=0.0955997 t=1260
er 	毦	c=0 d=0.0995012 t=1260
er 	而	c=0 d=0.099005 t=1260
er 	鉺	c=0 d=0.0995012 t=1260
er 	鴯	c=0 d=0.0995012 t=1260
er ha 	二哈	c=12 d=8.09412 t=1260
er ju hua 	二句話	c=1 d=0.932394 t=1260
er liu 	二流	c=0 d=0.0985112 t=1260
er qian 	𦗼錢	c=1 d=0.965605 t=1260
er shi 	耳屎	c=1 d=1 t=1260
er shi jiu 	二十九岁	c=1 d=0.980199 t=1260
er shi qi 	鴯時期	c=1 d=1 t=1260
er shi qi ri 	毦十七日	c=1 d=1 t=1260
er shi wu 	而食物	c=1 d=0.995012 t=1260
er shi wu sui 	鉺十五歲	c=1 d=1 t=1260
er wan wu 	尒萬物	c=1 d=0.960789 t=1260
fa xian 	發現	c=1 d=0.970446 t=1260
fang an 	方案	c=0 d=0.169541 t=1260
fang bian 	方便	c=1 d=0.690734 t=1260
fang bian 	訪遍	c=1 d=0.687289 t=1260
fang fa 	方法	c=1 d=0.640824 t=1260
fang shi 	方式	c=0 d=0.0965605 t=1260
fang wen 	訪問	c=1 d=0.937067 t=1260
fang zhi 	防止	c=1 d=0.484325 t=1260
fei 	非	c=0 d=0.0985112 t=1260
fei guan jian 	非關鍵	c=2 d=1.97516 t=1260
fei zhou 	非洲	c=0 d=0.0748264 t=1260
fei zhou ye gou 	非洲野狗	c=2 d=1.51159 t=1260
fen ci 	分詞	c=4 d=2.36653 t=1260
fen fen 	棻分	c=1 d=0.985112 t=1260
fen fen 	𩿈分	c=1 d=0.99005 t=1260
fen ge 	分割	c=2 d=1.59711 t=1260
fen si 	分司	c=1 d=0.980199 t=1260
fu hao 	符號	c=1 d=1 t=1260
fu jin 	附近	c=1 d=0.701173 t=1260
fu shi 	腐蝕	c=1 d=1.07871 t=1260
fu shu 	附屬	c=0 d=0.0980199 t=1260
fu zhi 	複製	c=4 d=2.76184 t=1260
gan di 	甘地	c=0 d=0.0995012 t=1260
gan shen me ne 	幹什麼呢	c=0 d=0.0995012 t=1260
gao 	高	c=1 d=0.895834 t=1260
gao dao 	搞到	c=0 d=0.0932394 t=1260
gao ren 	高人	c=1 d=1.02333 t=1260
gao xiao lv 	高效率	c=0 d=0.0980199 t=1260
ge 	個	c=2 d=1.98404 t=1260
ge shi 	格式	c=2 d=1.92654 t=1260
ge zi 	鴿子	c=2 d=1.4343 t=1260
gei 	給	c=2 d=0.664422 t=1260
gei lie biao 	給列表	c=1 d=0.369723 t=1260
gen ben jiu 	根本就是	c=0 d=0.179546 t=1260
geng 	更	c=0 d=0.0980199 t=1260
geng 	梗	c=0 d=0.0860708 t=1260
geng duo de 	更多的	c=1 d=0.97531 t=1260
geng gao xiao lv 	更高效率	c=1 d=0.985112 t=1260
geng qiang 	更強	c=1 d=0.88692 t=1260
geng quan 	梗犬	c=1 d=0.891366 t=1260
gong neng 	功能	c=3 d=0.907777 t=1260
gong neng zen me yang ne 	功能怎麼樣呢	c=1 d=0.960789 t=1260
gong xing men 	拱形門	c=1 d=0.657047 t=1260
gou 	狗	c=12 d=6.66258 t=1260
gou da jia 	狗打架	c=2 d=0.981918 t=1260
gou zi 	狗仔	c=1 d=0.965605 t=1260
gou zi 	狗子	c=14 d=7.19839 t=1260
gu ding 	固定	c=1 d=0.782705 t=1260
guan jian 	關鍵	c=1 d=1.09352 t=1260
guan jian zi 	關鍵字	c=1 d=0.798516 t=1260
guan zhuang 	官莊	c=1 d=0.980503 t=1260
guang da 	廣大	c=0 d=0.0726149 t=1260
guang da nv zhi gong 	廣大女職工	c=1 d=0.729789 t=1260
guo 	過	c=0 d=0.097531 t=1260
guo da 	過大	c=2 d=2.01182 t=1260
guo ran shi 	果然是	c=1 d=1.07431 t=1260
guo ran shi ge shen ji de shu ru fa 	果然是個神級的輸入法	c=1 d=0.995012 t=1260
ha shi qi 	哈士奇	c=9 d=4.80312 t=1260
hai 	還	c=0 d=0.0794534 t=1260
hai bu cuo 	還不錯	c=1 d=0.798516 t=1260
hai shi 	還是	c=1 d=0.927743 t=1260
hai shi hen 	還是很	c=0 d=0.0960789 t=1260
hai shi hen kuai de neng gou 	還是很快的能夠	c=1 d=0.965605 t=1260
hai xing ba 	還行吧	c=0 d=0.0951229 t=1260
hai zi 	孩子	c=1 d=0.516851 t=1260
han shu 	函數	c=3 d=2.35974 t=1260
han zi 	漢字	c=1 d=0.99005 t=1260
hang hang 	航行	c=2 d=2.04447 t=1260
hang hang chu 	航行出	c=1 d=1 t=1260
hang hang chu zhuang yuan 	行行出狀元	c=2 d=1.97521 t=1260
hao 	好	c=0 d=0.156578 t=1260
hao 	號	c=1 d=0.369838 t=1260
hao li hai de yang zi 	好厲害的樣子	c=4 d=3.63275 t=1260
he 	和	c=0 d=0.0995012 t=1260
he bing 	合併	c=1 d=0.642051 t=1260
he bing duo ge 	合併多個	c=1 d=0.937067 t=1260
he ji 	合計	c=2 d=1.68312 t=1260
he li cuo wu 	合理錯誤	c=0 d=0.0852144 t=1260
he li cuo wu wen yi xia 	合理錯誤問一下	c=1 d=0.856415 t=1260
he niu bi 	和牛逼	c=1 d=0.802519 t=1260
he pang 	河旁	c=1 d=0.985112 t=1260
he xin 	核心	c=0 d=0.0985112 t=1260
he xin li nian 	核心理念	c=1 d=0.99005 t=1260
he zi 	盒子	c=2 d=1.91738 t=1260
hei 	黑	c=0 d=0.0744532 t=1260
hei ban ling 	黑斑羚	c=2 d=1.51932 t=1260
hei ye 	黑夜	c=0 d=0.0965605 t=1260
hen 	很	c=0 d=0.358056 t=1260
hen cha 	很差	c=1 d=0.70822 t=1260
hen diu ren de 	很丟人的	c=1 d=0.955997 t=1260
hen duo de 	很多的	c=0 d=0.0965605 t=1260
hen gao 	很高	c=0 d=0.0980199 t=1260
hen kuai 	很快	c=0 d=0.000210172 t=1260
hen kuai de shu ru fa 	很快的輸入法	c=1 d=0.00211226 t=1260
hen li hai 	很厲害	c=0 d=0.126877 t=1260
hen li hai de 	很厲害的	c=1 d=0.293758 t=1260
hen li hai de yang zi 	很厲害的樣子	c=1 d=0.946485 t=1260
hen li hai ne 	很厲害呢	c=2 d=1.80304 t=1260
hen tuan jie 	很團結	c=1 d=0.980199 t=1260
hong yang 	弘揚	c=0 d=0.0744532 t=1260
hong yu 	洪玉	c=1 d=1.09451 t=1260
hou 	後	c=4 d=2.75148 t=1260
hou ge 	猴哥	c=1 d=0.311923 t=1260
